season,position,slot,roster_weeks,mean_four_week_increment,median_four_week_increment
2023,QB,1,136,0.022530617399327896,0.0
2023,QB,2,105,0.02618240226702009,0.0
2023,QB,3,79,0.02302303192370451,0.0
2023,QB,4,27,0.0312658861400463,0.013725626220703106
2023,QB,5,15,0.031778239794921885,0.013804776855468725
2023,QB,6,7,0.0032491608537946366,0.0
2023,RB,1,151,0.017217442791869302,0.0
2023,RB,2,131,0.022641574608256797,0.0032284252929687396
2023,RB,3,97,0.02090330233166881,0.0065312412109374985
2023,RB,4,71,0.021817292487345954,0.00965909594726562
2023,RB,5,41,0.026540402194883763,0.022859344238281246
2023,RB,6,22,0.021333636996182518,0.015433119140625007
2023,RB,7,9,0.03606971620008682,0.037135570312500074
2023,RB,8,4,0.034356802124023436,0.026452884155273432
2023,RB,9,2,0.0866948327636719,0.0866948327636719
2023,RB,10,1,0.09077537792968753,0.09077537792968753
2023,TE,1,105,0.043932837799944155,0.015366054687499853
2023,TE,2,46,0.028856644594938842,0.01663082019042965
2023,TE,3,10,0.014170687963867164,0.0077484328613280935
2023,WR,1,145,0.020461129458512913,0.005254501953125018
2023,WR,2,120,0.019869072513834622,0.008229812011718688
2023,WR,3,102,0.016170025586894902,0.008429755615234357
2023,WR,4,62,0.019220993616903975,0.014571966064453133
2023,WR,5,35,0.020514279534040173,0.018088541015624987
2023,WR,6,18,0.026075349378797737,0.027731113769531194
2023,WR,7,5,0.043692712158203126,0.046171001953125027
2023,WR,8,3,0.0583106078287761,0.05607291748046882
2023,WR,9,1,0.041537230957031296,0.041537230957031296
2024,QB,1,151,0.029255944623732398,0.0
2024,QB,2,115,0.028751338446841027,0.0
2024,QB,3,73,0.035869430246013474,0.0
2024,QB,4,40,0.0376565943786621,0.0032749108886718815
2024,QB,5,13,0.018628878831129802,0.013021726562499975
2024,QB,6,13,0.013409014535757215,0.007457952148437488
2024,QB,7,13,0.012993658334585332,0.010664222167968751
2024,QB,8,12,0.011503532185872398,0.009662753662109367
2024,QB,9,10,0.025370625366210924,0.0107255303955078
2024,QB,10,2,0.006510863281249994,0.006510863281249994
2024,RB,1,153,0.029592578967524496,0.0
2024,RB,2,112,0.023638007906232553,0.002165447143554662
2024,RB,3,80,0.02531664367980956,0.00662402124023434
2024,RB,4,48,0.02161915222167968,0.008684978637695327
2024,RB,5,34,0.024632464434455412,0.00905224670410154
2024,RB,6,18,0.010026083645290793,0.0
2024,RB,7,12,0.0068132796630859345,0.0009309758300781353
2024,RB,8,5,0.002068651953124999,0.0
2024,RB,9,1,0.011457045898437483,0.011457045898437483
2024,TE,1,127,0.02650904758050873,0.0
2024,TE,2,59,0.034313817684884784,0.0017747221679687494
2024,TE,3,9,0.05227435115559894,0.03577949536132811
2024,TE,4,3,0.029747955322265623,0.032526813964843734
2024,WR,1,152,0.025340959731252558,0.0017504047851562218
2024,WR,2,133,0.020332534278812254,0.0018499785156249268
2024,WR,3,103,0.026867831272754848,0.006686493164062474
2024,WR,4,67,0.0295791714705282,0.012362366943359342
2024,WR,5,38,0.03179505419921872,0.021618358886718737
2024,WR,6,21,0.027493450916108594,0.019779787109374947
2024,WR,7,13,0.025492672644981937,0.025142268310546972
2024,WR,8,7,0.03369431535993298,0.02959241528320304
2024,WR,9,4,0.040855238220214765,0.02299278491210934
2024,WR,10,1,0.020898237304687452,0.020898237304687452
2025,QB,1,119,0.027740011882878148,0.0
2025,QB,2,86,0.02701262759470385,0.0
2025,QB,3,51,0.032762849350873154,0.014470250976562467
2025,QB,4,28,0.031733704895019525,0.012322906738281156
2025,QB,5,4,0.029253401245117203,0.028336014770507834
2025,QB,6,1,0.04636802416992191,0.04636802416992191
2025,RB,1,153,0.019136469661139188,0.0
2025,RB,2,126,0.020115482784210683,0.0
2025,RB,3,95,0.01797540172440378,0.001437722656250029
2025,RB,4,54,0.014640138007269961,0.003220243896484381
2025,RB,5,27,0.013022138029875577,0.0
2025,RB,6,13,0.008878728346604569,0.0
2025,RB,7,7,0.006380797921316961,0.0
2025,TE,1,92,0.04501811419412361,0.00954630468749973
2025,TE,2,54,0.04488483565266925,0.02556680529785152
2025,TE,3,15,0.06600420973307287,0.0499685346679687
2025,TE,4,3,0.04918491048177073,0.03948773608398429
2025,TE,5,1,0.017531905517578092,0.017531905517578092
2025,WR,1,153,0.02191465892916411,0.009319454101562489
2025,WR,2,138,0.01959044453231147,0.006760341796874989
2025,WR,3,122,0.020206673515945177,0.00779098474121093
2025,WR,4,91,0.014712918717269052,0.004247684570312493
2025,WR,5,55,0.016003302263849425,0.009862192382812482
2025,WR,6,33,0.020709144383285978,0.016681365722656223
2025,WR,7,16,0.022770093460083005,0.015795981567382808
2025,WR,8,7,0.03132650659179686,0.02516641845703123
2025,WR,9,4,0.033869600402832024,0.029488894287109352
2025,WR,10,3,0.0701424358723958,0.07835898339843748
2025,WR,11,3,0.040605899576822896,0.04862096166992187
2025,WR,12,2,0.04832573535156248,0.04832573535156248
2025,WR,13,1,0.04222820214843749,0.04222820214843749
