season,week,roster_id,position,eligible_owned
2023,3,1,QB,3
2023,3,1,RB,10
2023,3,1,WR,2
2023,3,1,TE,1
2023,3,2,QB,2
2023,3,2,RB,1
2023,3,2,WR,5
2023,3,2,TE,1
2023,3,3,QB,5
2023,3,3,RB,8
2023,3,3,WR,3
2023,3,3,TE,2
2023,3,4,QB,3
2023,3,4,RB,4
2023,3,4,WR,5
2023,3,4,TE,0
2023,3,5,QB,1
2023,3,5,RB,5
2023,3,5,WR,6
2023,3,5,TE,2
2023,3,6,QB,3
2023,3,6,RB,4
2023,3,6,WR,4
2023,3,6,TE,1
2023,3,7,QB,2
2023,3,7,RB,7
2023,3,7,WR,1
2023,3,7,TE,1
2023,3,8,QB,4
2023,3,8,RB,2
2023,3,8,WR,7
2023,3,8,TE,0
2023,3,9,QB,3
2023,3,9,RB,8
2023,3,9,WR,1
2023,3,9,TE,3
2023,3,10,QB,0
2023,3,10,RB,3
2023,3,10,WR,6
2023,3,10,TE,1
2023,3,11,QB,3
2023,3,11,RB,4
2023,3,11,WR,3
2023,3,11,TE,2
2023,3,12,QB,1
2023,3,12,RB,2
2023,3,12,WR,6
2023,3,12,TE,2
2023,4,1,QB,3
2023,4,1,RB,9
2023,4,1,WR,2
2023,4,1,TE,1
2023,4,2,QB,2
2023,4,2,RB,1
2023,4,2,WR,4
2023,4,2,TE,2
2023,4,3,QB,5
2023,4,3,RB,6
2023,4,3,WR,3
2023,4,3,TE,2
2023,4,4,QB,3
2023,4,4,RB,4
2023,4,4,WR,5
2023,4,4,TE,0
2023,4,5,QB,1
2023,4,5,RB,3
2023,4,5,WR,4
2023,4,5,TE,2
2023,4,6,QB,3
2023,4,6,RB,4
2023,4,6,WR,4
2023,4,6,TE,1
2023,4,7,QB,1
2023,4,7,RB,6
2023,4,7,WR,1
2023,4,7,TE,0
2023,4,8,QB,4
2023,4,8,RB,1
2023,4,8,WR,5
2023,4,8,TE,0
2023,4,9,QB,3
2023,4,9,RB,7
2023,4,9,WR,1
2023,4,9,TE,3
2023,4,10,QB,0
2023,4,10,RB,3
2023,4,10,WR,5
2023,4,10,TE,1
2023,4,11,QB,3
2023,4,11,RB,4
2023,4,11,WR,3
2023,4,11,TE,2
2023,4,12,QB,1
2023,4,12,RB,2
2023,4,12,WR,6
2023,4,12,TE,1
2023,5,1,QB,3
2023,5,1,RB,7
2023,5,1,WR,2
2023,5,1,TE,3
2023,5,2,QB,2
2023,5,2,RB,1
2023,5,2,WR,4
2023,5,2,TE,1
2023,5,3,QB,5
2023,5,3,RB,6
2023,5,3,WR,3
2023,5,3,TE,2
2023,5,4,QB,3
2023,5,4,RB,4
2023,5,4,WR,4
2023,5,4,TE,0
