league_id,season,stratum,week,roster_id,budget,qb_options,rb_options,mean_gain,chance_gain_ge_025,chance_gain_ge_050,chance_gain_ge_075,delta_more_qb,delta_chance_ge_050,mc_standard_error
920523240571850752,2023,1QB,4,3,8,0,8,0.15864673500000015,0.0,0.0,0.0,-0.02197072625000003,0.0,0.0050741888551721626
920523240571850752,2023,1QB,13,11,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,14,11,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,15,11,8,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969999751733186560,2023,1QB,9,4,8,0,8,0.05211727999999982,0.0,0.0,0.0,-0.006514659999999978,0.0,0.0021715533333333263
1048901308398288896,2024,1QB,6,9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,6,9,8,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,6,9,9,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,8,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,8,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,8,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,9,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,9,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,8,4,4,0.0561126,0.0,0.0,0.0,0.01963941,0.0,0.00467605
1048901308398288896,2024,1QB,8,9,8,5,3,0.07575201000000001,0.0,0.0,0.0,0.007014075,0.0,0.0030355761662415217
1048901308398288896,2024,1QB,8,9,8,6,2,0.08276608499999999,0.0,0.0,0.0,0.007014075,0.0,0.0030355761662415217
1048901308398288896,2024,1QB,8,9,9,5,4,0.07575201000000001,0.0,0.0,0.0,0.007014075,0.0,0.0030355761662415217
1048901308398288896,2024,1QB,8,9,9,6,3,0.08276608499999999,0.0,0.0,0.0,0.007014075,0.0,0.0030355761662415217
1048901308398288896,2024,1QB,9,9,8,4,4,0.10955784000000002,0.0,0.0,0.0,0.020542095000000003,0.0,0.008046607732021302
1048901308398288896,2024,1QB,9,9,8,5,3,0.130099935,0.0,0.0,0.0,0.03766050750000001,0.0,0.010414957105315235
1048901308398288896,2024,1QB,9,9,8,6,2,0.16776044250000005,0.0,0.0,0.0,0.027389460000000004,0.0,0.009129820000000002
1048901308398288896,2024,1QB,9,9,8,7,1,0.19514990250000003,0.0,0.0,0.0,0.023965777500000004,0.0,0.00861607867797795
1048901308398288896,2024,1QB,9,9,9,5,4,0.130099935,0.0,0.0,0.0,0.03766050750000001,0.0,0.010414957105315235
