league_id,season,stratum,week,roster_id,budget,qb_options,rb_options,mean_gain,chance_gain_ge_025,chance_gain_ge_050,chance_gain_ge_075
920523240571850752,2023,1QB,4,3,8,0,8,0.15864673500000015,0.0,0.0,0.0
920523240571850752,2023,1QB,4,3,8,1,7,0.13667600875000013,0.0,0.0,0.0
920523240571850752,2023,1QB,7,11,8,1,7,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,13,11,8,0,8,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,13,11,8,1,7,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,14,11,8,0,8,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,14,11,8,1,7,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,14,11,9,1,8,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,15,11,8,0,8,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,15,11,8,1,7,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,15,11,9,1,8,0.0,0.0,0.0,0.0
969999751733186560,2023,1QB,4,12,8,1,7,0.0,0.0,0.0,0.0
969999751733186560,2023,1QB,5,12,8,1,7,0.0,0.0,0.0,0.0
969999751733186560,2023,1QB,6,12,8,1,7,0.24805791999999993,0.0,0.0,0.0
969999751733186560,2023,1QB,8,4,8,1,7,0.01111847999999993,0.0,0.0,0.0
969999751733186560,2023,1QB,9,4,8,0,8,0.05211727999999982,0.0,0.0,0.0
969999751733186560,2023,1QB,9,4,8,1,7,0.045602619999999844,0.0,0.0,0.0
969999751733186560,2023,1QB,9,4,9,1,8,0.05211727999999982,0.0,0.0,0.0
969999751733186560,2023,1QB,10,4,8,1,7,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,4,11,8,1,7,0.06490768000000013,0.0,0.0,0.0
1048901308398288896,2024,1QB,5,9,8,5,3,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,5,11,8,1,7,0.27803200000000006,1.0,0.0,0.0
1048901308398288896,2024,1QB,6,9,8,5,3,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,6,9,8,6,2,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,6,9,8,7,1,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,6,9,9,6,3,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,6,9,9,7,2,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,6,11,8,1,7,0.27803199999999983,1.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,8,4,4,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,8,5,3,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,8,6,2,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,8,7,1,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,9,5,4,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,9,6,3,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,7,9,9,7,2,0.0,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,8,4,4,0.0561126,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,8,5,3,0.07575201000000001,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,8,6,2,0.08276608499999999,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,8,7,1,0.08978016,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,9,5,4,0.07575201000000001,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,9,6,3,0.08276608499999999,0.0,0.0,0.0
1048901308398288896,2024,1QB,8,9,9,7,2,0.08978016,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,8,4,4,0.10955784000000002,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,8,5,3,0.130099935,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,8,6,2,0.16776044250000005,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,8,7,1,0.19514990250000003,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,8,8,0,0.21911568000000003,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,9,5,4,0.130099935,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,9,6,3,0.16776044250000005,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,9,7,2,0.19514990250000003,0.0,0.0,0.0
1048901308398288896,2024,1QB,9,9,9,8,1,0.21911568000000003,0.0,0.0,0.0
1048901308398288896,2024,1QB,10,9,8,4,4,0.21216218750000004,0.609375,0.0,0.0
1048901308398288896,2024,1QB,10,9,8,5,3,0.2249091075,0.609375,0.0,0.0
1048901308398288896,2024,1QB,10,9,8,6,2,0.2396144725,0.625,0.0,0.0
1048901308398288896,2024,1QB,10,9,8,7,1,0.2551467675,0.71875,0.0,0.0
1048901308398288896,2024,1QB,10,9,8,8,0,0.28975591999999994,1.0,0.0,0.0
