season,league_id,week,matchup_rows,unique_rosters,missing_players_field,empty_players_lists,total_owned_player_ids,min_owned_per_roster,max_owned_per_roster,duplicate_owned_ids_across_rosters,structural_pass
2023,950220100039311360,1,12,12,0,0,360,27,33,0,True
2023,950220100039311360,2,12,12,0,0,360,27,33,0,True
2023,950220100039311360,3,12,12,0,0,363,27,33,0,True
2023,950220100039311360,4,12,12,0,0,360,27,33,0,True
2023,950220100039311360,5,12,12,0,0,357,27,32,0,True
2023,950220100039311360,6,12,12,0,0,359,27,33,0,True
2023,950220100039311360,7,12,12,0,0,359,27,33,0,True
2023,950220100039311360,8,12,12,0,0,360,27,33,0,True
2023,950220100039311360,9,12,12,0,0,361,27,33,0,True
2023,950220100039311360,10,12,12,0,0,362,27,33,0,True
2023,950220100039311360,11,12,12,0,0,360,27,33,0,True
2023,950220100039311360,12,12,12,0,0,359,27,32,0,True
2023,950220100039311360,13,12,12,0,0,360,27,33,0,True
2023,950220100039311360,14,12,12,0,0,357,27,33,0,True
2023,950220100039311360,15,12,12,0,0,358,27,33,0,True
2023,950220100039311360,16,12,12,0,0,357,27,33,0,True
2023,950220100039311360,17,12,12,0,0,360,27,33,0,True
2023,950220100039311360,18,12,12,0,0,353,26,32,0,True
2024,1050961255520923648,1,12,12,0,0,368,27,34,0,True
2024,1050961255520923648,2,12,12,0,0,370,27,33,0,True
2024,1050961255520923648,3,12,12,0,0,371,27,33,0,True
2024,1050961255520923648,4,12,12,0,0,373,27,33,0,True
2024,1050961255520923648,5,12,12,0,0,370,27,33,0,True
2024,1050961255520923648,6,12,12,0,0,371,27,33,0,True
2024,1050961255520923648,7,12,12,0,0,372,27,33,0,True
2024,1050961255520923648,8,12,12,0,0,372,27,33,0,True
2024,1050961255520923648,9,12,12,0,0,371,27,33,0,True
2024,1050961255520923648,10,12,12,0,0,373,27,33,0,True
2024,1050961255520923648,11,12,12,0,0,372,27,33,0,True
2024,1050961255520923648,12,12,12,0,0,373,28,33,0,True
2024,1050961255520923648,13,12,12,0,0,374,28,33,0,True
2024,1050961255520923648,14,12,12,0,0,372,29,33,0,True
2024,1050961255520923648,15,12,12,0,0,370,29,33,0,True
2024,1050961255520923648,16,12,12,0,0,370,29,33,0,True
2024,1050961255520923648,17,12,12,0,0,370,29,33,0,True
2024,1050961255520923648,18,12,12,0,0,370,29,33,0,True
2025,1182581249532833792,1,12,12,0,0,368,25,33,0,True
2025,1182581249532833792,2,12,12,0,0,366,24,33,0,True
2025,1182581249532833792,3,12,12,0,0,366,24,33,0,True
2025,1182581249532833792,4,12,12,0,0,366,25,33,0,True
2025,1182581249532833792,5,12,12,0,0,367,25,33,0,True
2025,1182581249532833792,6,12,12,0,0,369,25,33,0,True
2025,1182581249532833792,7,12,12,0,0,370,25,33,0,True
2025,1182581249532833792,8,12,12,0,0,369,25,33,0,True
2025,1182581249532833792,9,12,12,0,0,368,25,33,0,True
2025,1182581249532833792,10,12,12,0,0,367,25,33,0,True
2025,1182581249532833792,11,12,12,0,0,368,25,33,0,True
2025,1182581249532833792,12,12,12,0,0,369,25,33,0,True
2025,1182581249532833792,13,12,12,0,0,366,24,33,0,True
2025,1182581249532833792,14,12,12,0,0,364,23,33,0,True
2025,1182581249532833792,15,12,12,0,0,364,23,33,0,True
2025,1182581249532833792,16,12,12,0,0,364,23,33,0,True
2025,1182581249532833792,17,12,12,0,0,364,23,33,0,True
2025,1182581249532833792,18,12,12,0,0,364,23,33,0,True
2026,1317417394439741440,1,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,2,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,3,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,4,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,5,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,6,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,7,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,8,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,9,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,10,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,11,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,12,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,13,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,14,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,15,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,16,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,17,12,12,0,0,363,22,33,0,True
2026,1317417394439741440,18,12,12,0,0,363,22,33,0,True
