season,week,player_id,player_name,position,fantasy_points,replacement_points,porp,win_prob_replacement,win_prob_player,weekly_worp,starter_cutoff_rank,replacement_pool_start,replacement_pool_end,replacement_effective_rank,replacement_rank,win_model,opponent_score_mean,opponent_score_sd
2023,1,3634,Kalif Raymond,WR,3.0,9.0,-6.0,0.3883809765625,0.3185747265625,-0.06980624999999996,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,5374,Justin Watson,WR,7.5,9.0,-1.5,0.3883809765625,0.37046081249999996,-0.01792016406250002,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,8140,Justyn Ross,WR,1.6,9.0,-7.4,0.3883809765625,0.3030529375,-0.08532803906249997,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,8921,Maurice Alexander,WR,0.0,9.0,-9.0,0.3883809765625,0.28580340624999995,-0.10257757031250003,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,1067,Marvin Jones,WR,0.8,9.0,-8.2,0.3883809765625,0.29441871875,-0.0939622578125,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,10859,Sam LaPorta,TE,15.9,8.4,7.5,0.4258146640625,0.5176796484374999,0.0918649843749999,23.0,24.0,29.0,26.5,24.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,11474,Dylan Drummond,WR,0.0,9.0,-9.0,0.3883809765625,0.28580340624999995,-0.10257757031250003,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,5102,Daurice Fountain,WR,0.0,9.0,-9.0,0.3883809765625,0.28580340624999995,-0.10257757031250003,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,6659,Craig Reynolds,RB,0.0,7.949999999999999,-7.949999999999999,0.37386537499999994,0.2849564453125,-0.08890892968749997,39.0,40.0,45.0,42.5,40.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,7541,Cornell Powell,WR,0.0,9.0,-9.0,0.3883809765625,0.28580340624999995,-0.10257757031250003,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,10229,Rashee Rice,WR,12.299999999999999,9.0,3.299999999999999,0.3883809765625,0.42864665625,0.0402656796875,46.0,47.0,52.0,49.5,47.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,2152,Teddy Bridgewater,QB,0.0,13.079999999999998,-13.079999999999998,0.3137727109375,0.1850886875,-0.1286840234375,24.0,25.0,30.0,27.5,25.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
2023,1,6908,La'Mical Perine,RB,0.0,7.949999999999999,-7.949999999999999,0.37386537499999994,0.2849564453125,-0.08890892968749997,39.0,40.0,45.0,42.5,40.0,empirical_monte_carlo,206.27994750000002,23.61275472325172
