position,volume_band,player_weeks,player_week_share,worp,worp_share,median_worp,median_volume,td_worp_share
QB,LOW,12,0.42857142857142855,0.5118030624999995,0.21577454298542528,0.03643072265625,16.5,0.9607671816881718
QB,MID,5,0.17857142857142858,0.5536657890624999,0.233423735329106,0.0829067187499999,33.0,0.9635307971001967
QB,HIGH,11,0.39285714285714285,1.3064655546874995,0.5508017216854688,0.097934375,41.0,0.9632878165421875
RB,LOW,29,0.4603174603174603,1.0243299218749982,0.43907594958454893,0.0317957890624999,5.0,0.7972430910054541
RB,MID,28,0.4444444444444444,0.8435081328124983,0.36156723189243517,0.02082025781249995,10.0,0.5185692443077279
RB,HIGH,6,0.09523809523809523,0.46508389843749964,0.1993568185230159,0.09598886718749995,17.5,0.0
TE,LOW,140,0.5957446808510638,3.6916386406249933,0.3694888560684234,0.021234800781249952,2.0,0.7312990323364749
TE,MID,84,0.3574468085106383,5.100891476562497,0.5105382027004586,0.05041407031249985,4.0,0.4173602411768378
TE,HIGH,11,0.04680851063829787,1.1986741640624996,0.119972941231118,0.0983575937499999,7.0,0.48118963704253653
WR,LOW,62,0.3668639053254438,2.486743179687497,0.29566119489741644,0.03069188281249995,2.0,0.860988013479365
WR,MID,78,0.46153846153846156,3.3335701562499955,0.3963446421496167,0.0316994257812499,5.0,0.6980614861628506
WR,HIGH,29,0.17159763313609466,2.5904731406249986,0.30799416295296694,0.0894179843749999,8.0,0.5400448081754565
