position,prior_signal_band,player_weeks,player_week_share,worp,worp_share
QB,ZERO_PRIOR_USAGE,10,0.35714285714285715,0.8883427734374997,0.37452248725628107
QB,LOW_PRIOR_USAGE,11,0.39285714285714285,0.8635962109374996,0.3640894152308518
QB,MID_PRIOR_USAGE,3,0.10714285714285714,0.2320710703124998,0.09784042497170127
QB,HIGH_PRIOR_USAGE,4,0.14285714285714285,0.3879243515624998,0.16354767254116603
QB,NO_PRIOR_SAMPLE,0,0.0,0.0,0.0
RB,ZERO_PRIOR_USAGE,12,0.19047619047619047,0.4267701718749992,0.1829337545147329
RB,LOW_PRIOR_USAGE,43,0.6825396825396826,1.5895605781249975,0.6813603755563914
RB,MID_PRIOR_USAGE,6,0.09523809523809523,0.22959835156249958,0.09841664495245885
RB,HIGH_PRIOR_USAGE,1,0.015873015873015872,0.0466808046874999,0.020009586958093482
RB,NO_PRIOR_SAMPLE,1,0.015873015873015872,0.0403120468749999,0.017279638018323374
WR,ZERO_PRIOR_USAGE,30,0.17751479289940827,1.1691385937499987,0.13900466942157216
WR,LOW_PRIOR_USAGE,95,0.5621301775147929,4.861638289062495,0.578024219567331
WR,MID_PRIOR_USAGE,31,0.1834319526627219,1.9176935624999978,0.2280040716577273
WR,HIGH_PRIOR_USAGE,6,0.03550295857988166,0.2054090390624997,0.024422096510818912
WR,NO_PRIOR_SAMPLE,7,0.04142011834319527,0.2569069921874998,0.030544942842550715
TE,ZERO_PRIOR_USAGE,26,0.11063829787234042,1.182330070312499,0.1183370930100309
TE,LOW_PRIOR_USAGE,177,0.7531914893617021,7.400697429687494,0.7407212605567504
TE,MID_PRIOR_USAGE,21,0.08936170212765958,0.770328421874999,0.07710065775760756
TE,HIGH_PRIOR_USAGE,4,0.01702127659574468,0.33639960937500013,0.03366957574937238
TE,NO_PRIOR_SAMPLE,7,0.029787234042553193,0.3014487499999995,0.03017141292623891
