from_rank,to_rank,from_mean_worp,to_mean_worp,realized_worp_difference
1,8,2.9438579739583326,1.5096588255208332,1.4341991484374994
8,20,1.5096588255208332,1.028803903645833,0.48085492187500023
20,40,1.028803903645833,0.4836781848958332,0.5451257187499998
30,40,0.8001455052083332,0.4836781848958332,0.31646732031249997
30,50,0.8001455052083332,0.1738351796874998,0.6263103255208333
36,48,0.5957041588541664,0.20416041406249988,0.39154374479166654
40,50,0.4836781848958332,0.1738351796874998,0.3098430052083334
40,55,0.4836781848958332,0.05583757552083337,0.42784060937499985
42,54,0.4047659010416666,0.0802969817708331,0.3244689192708335
45,54,0.28161530208333324,0.0802969817708331,0.20131832031250013
48,60,0.20416041406249988,-0.018146135416666903,0.22230654947916678
50,60,0.1738351796874998,-0.018146135416666903,0.19198131510416672
55,60,0.05583757552083337,-0.018146135416666903,0.07398371093750028
55,72,0.05583757552083337,-0.1303280546874999,0.18616563020833327
60,72,-0.018146135416666903,-0.1303280546874999,0.11218191927083299
60,84,-0.018146135416666903,-0.25010913541666663,0.23196299999999972
60,90,-0.018146135416666903,-0.31018841927083335,0.2920422838541664
72,90,-0.1303280546874999,-0.31018841927083335,0.17986036458333346
