league_id,season,week,roster_id,capacity,reserve_capacity,active_min,active_max,nonactive_min,nonactive_max,QB_min,QB_max,RB_min,RB_max,WR_min,WR_max,TE_min,TE_max,status,reason
920523240571850752,2023,3,1,24,8,21.0,24.0,5.0,8.0,1.0,5.0,2.0,4.0,5.0,13.0,1.0,7.0,conditional_bounds,
920523240571850752,2023,3,2,24,8,18.0,24.0,2.0,8.0,1.0,2.0,2.0,7.0,5.0,13.0,3.0,4.0,conditional_bounds,
920523240571850752,2023,3,3,24,8,20.0,24.0,4.0,8.0,1.0,3.0,5.0,13.0,4.0,7.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,3,4,24,8,20.0,24.0,4.0,8.0,1.0,8.0,4.0,6.0,2.0,9.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,3,5,24,8,17.0,24.0,1.0,8.0,1.0,3.0,2.0,8.0,4.0,10.0,2.0,4.0,conditional_bounds,
920523240571850752,2023,3,6,24,8,23.0,24.0,7.0,8.0,1.0,2.0,11.0,17.0,4.0,7.0,2.0,3.0,conditional_bounds,
920523240571850752,2023,3,7,24,8,21.0,24.0,5.0,8.0,1.0,4.0,3.0,9.0,4.0,12.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,3,8,24,8,22.0,24.0,6.0,8.0,1.0,3.0,2.0,7.0,8.0,16.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,3,9,24,8,18.0,24.0,2.0,8.0,1.0,3.0,3.0,8.0,4.0,11.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,3,10,24,8,19.0,24.0,3.0,8.0,1.0,3.0,3.0,8.0,5.0,13.0,1.0,3.0,conditional_bounds,
920523240571850752,2023,3,11,24,8,20.0,24.0,4.0,8.0,1.0,3.0,4.0,12.0,3.0,8.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,3,12,24,8,23.0,24.0,7.0,8.0,1.0,4.0,2.0,9.0,5.0,13.0,1.0,5.0,conditional_bounds,
920523240571850752,2023,4,1,24,8,21.0,24.0,5.0,8.0,1.0,5.0,2.0,4.0,5.0,13.0,2.0,7.0,conditional_bounds,
920523240571850752,2023,4,2,24,8,18.0,24.0,2.0,8.0,1.0,2.0,2.0,7.0,5.0,13.0,3.0,4.0,conditional_bounds,
920523240571850752,2023,4,3,24,8,20.0,24.0,4.0,8.0,1.0,3.0,5.0,13.0,4.0,7.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,4,4,24,8,20.0,24.0,4.0,8.0,1.0,8.0,4.0,6.0,2.0,9.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,4,5,24,8,17.0,24.0,1.0,8.0,1.0,3.0,2.0,8.0,5.0,10.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,4,6,24,8,21.0,24.0,5.0,8.0,1.0,2.0,9.0,17.0,4.0,7.0,2.0,3.0,conditional_bounds,
920523240571850752,2023,4,7,24,8,21.0,24.0,5.0,8.0,1.0,4.0,3.0,9.0,4.0,12.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,4,8,24,8,22.0,24.0,6.0,8.0,1.0,3.0,3.0,7.0,8.0,16.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,4,9,24,8,18.0,24.0,2.0,8.0,1.0,3.0,3.0,8.0,3.0,11.0,2.0,4.0,conditional_bounds,
920523240571850752,2023,4,10,24,8,18.0,24.0,2.0,8.0,1.0,3.0,3.0,8.0,4.0,12.0,1.0,3.0,conditional_bounds,
920523240571850752,2023,4,11,24,8,20.0,24.0,4.0,8.0,1.0,3.0,4.0,12.0,3.0,8.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,4,12,24,8,23.0,24.0,7.0,8.0,1.0,4.0,2.0,9.0,5.0,13.0,1.0,5.0,conditional_bounds,
920523240571850752,2023,5,1,24,8,21.0,24.0,5.0,8.0,1.0,5.0,2.0,4.0,5.0,13.0,2.0,7.0,conditional_bounds,
920523240571850752,2023,5,2,24,8,18.0,24.0,2.0,8.0,1.0,2.0,2.0,7.0,5.0,13.0,2.0,4.0,conditional_bounds,
920523240571850752,2023,5,3,24,8,20.0,24.0,4.0,8.0,1.0,3.0,5.0,13.0,4.0,7.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,5,4,24,8,20.0,24.0,4.0,8.0,1.0,8.0,3.0,6.0,3.0,9.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,5,5,24,8,17.0,24.0,1.0,8.0,1.0,3.0,2.0,8.0,4.0,10.0,2.0,4.0,conditional_bounds,
920523240571850752,2023,5,6,24,8,20.0,24.0,4.0,8.0,1.0,4.0,5.0,13.0,3.0,7.0,2.0,4.0,conditional_bounds,
920523240571850752,2023,5,7,24,8,21.0,24.0,5.0,8.0,1.0,4.0,3.0,9.0,4.0,12.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,5,8,24,8,22.0,24.0,6.0,8.0,1.0,3.0,3.0,7.0,8.0,16.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,5,9,24,8,18.0,24.0,2.0,8.0,1.0,3.0,3.0,8.0,4.0,11.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,5,10,24,8,18.0,24.0,2.0,8.0,1.0,3.0,2.0,8.0,5.0,12.0,1.0,3.0,conditional_bounds,
920523240571850752,2023,5,11,24,8,20.0,24.0,4.0,8.0,1.0,3.0,4.0,12.0,3.0,8.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,5,12,24,8,23.0,24.0,7.0,8.0,1.0,4.0,2.0,9.0,5.0,13.0,1.0,5.0,conditional_bounds,
920523240571850752,2023,6,1,24,8,13.0,21.0,0.0,8.0,1.0,5.0,2.0,3.0,4.0,7.0,2.0,6.0,conditional_bounds,
920523240571850752,2023,6,2,24,8,17.0,24.0,1.0,8.0,1.0,2.0,3.0,6.0,5.0,13.0,2.0,4.0,conditional_bounds,
920523240571850752,2023,6,3,24,8,20.0,24.0,4.0,8.0,1.0,3.0,4.0,12.0,4.0,8.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,6,4,24,8,20.0,24.0,4.0,8.0,1.0,8.0,3.0,6.0,4.0,9.0,1.0,5.0,conditional_bounds,
920523240571850752,2023,6,5,24,8,15.0,23.0,0.0,8.0,1.0,3.0,2.0,7.0,5.0,10.0,1.0,3.0,conditional_bounds,
920523240571850752,2023,6,6,24,8,21.0,24.0,5.0,8.0,1.0,4.0,7.0,15.0,4.0,7.0,1.0,3.0,conditional_bounds,
920523240571850752,2023,6,7,24,8,21.0,24.0,5.0,8.0,1.0,4.0,2.0,9.0,5.0,12.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,6,8,24,8,23.0,24.0,7.0,8.0,1.0,3.0,2.0,7.0,9.0,17.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,6,9,24,8,18.0,24.0,2.0,8.0,1.0,3.0,3.0,8.0,4.0,11.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,6,10,24,8,18.0,24.0,2.0,8.0,1.0,3.0,3.0,9.0,4.0,12.0,1.0,2.0,conditional_bounds,
920523240571850752,2023,6,11,24,8,20.0,24.0,4.0,8.0,1.0,3.0,4.0,12.0,4.0,8.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,6,12,24,8,22.0,24.0,6.0,8.0,1.0,4.0,2.0,9.0,5.0,13.0,1.0,4.0,conditional_bounds,
920523240571850752,2023,7,1,24,8,13.0,21.0,0.0,8.0,1.0,5.0,2.0,3.0,4.0,8.0,2.0,5.0,conditional_bounds,
920523240571850752,2023,7,2,24,8,17.0,24.0,1.0,8.0,1.0,2.0,2.0,6.0,5.0,13.0,2.0,4.0,conditional_bounds,
