league_id,season,stratum,roster_id,week,baseline_size,active_capacity,position_a,position_b,gain_a,gain_b,delta_a_minus_b,tail_delta_a_minus_b
920523240571850752,2023,1QB,1,7,12,24,QB,RB,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,7,12,24,QB,WR,0.0,0.06330299999999989,-0.06330299999999989,0.0
920523240571850752,2023,1QB,1,7,12,24,QB,TE,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,7,12,24,RB,WR,0.0,0.06330299999999989,-0.06330299999999989,0.0
920523240571850752,2023,1QB,1,7,12,24,RB,TE,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,7,12,24,WR,TE,0.06330299999999989,0.0,0.06330299999999989,0.0
920523240571850752,2023,1QB,5,7,18,24,RB,WR,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,8,14,24,QB,RB,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,8,14,24,QB,TE,0.0,0.035413079999999875,-0.035413079999999875,0.0
920523240571850752,2023,1QB,1,8,14,24,RB,TE,0.0,0.035413079999999875,-0.035413079999999875,0.0
920523240571850752,2023,1QB,5,8,18,24,RB,WR,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,9,14,24,QB,RB,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,9,14,24,QB,TE,0.0,0.035413079999999875,-0.035413079999999875,0.0
920523240571850752,2023,1QB,1,9,14,24,RB,TE,0.0,0.035413079999999875,-0.035413079999999875,0.0
920523240571850752,2023,1QB,5,9,17,24,RB,WR,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,QB,RB,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,QB,WR,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,QB,TE,0.0,0.04192035999999999,-0.04192035999999999,0.0
920523240571850752,2023,1QB,1,10,12,24,RB,WR,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,RB,TE,0.0,0.04192035999999999,-0.04192035999999999,0.0
920523240571850752,2023,1QB,1,10,12,24,WR,TE,0.0,0.04192035999999999,-0.04192035999999999,0.0
920523240571850752,2023,1QB,5,10,15,24,RB,WR,0.0,0.0,0.0,0.0
920523240571850752,2023,1QB,5,10,15,24,RB,TE,0.0,0.017976080000000394,-0.017976080000000394,0.0
920523240571850752,2023,1QB,5,10,15,24,WR,TE,0.0,0.017976080000000394,-0.017976080000000394,0.0
920523240571850752,2023,1QB,1,11,12,24,QB,RB,0.0,0.0,0.0,0.0
