league_id,season,stratum,roster_id,week,baseline_size,active_capacity,position,baseline_position_count,candidate_count,mean_gain,chance_gain_ge_050
920523240571850752,2023,1QB,1,7,12,24,QB,1,4,0.0,0.0
920523240571850752,2023,1QB,1,7,12,24,RB,2,1,0.0,0.0
920523240571850752,2023,1QB,1,7,12,24,WR,5,2,0.06330299999999989,0.0
920523240571850752,2023,1QB,1,7,12,24,TE,4,2,0.0,0.0
920523240571850752,2023,1QB,5,7,18,24,RB,5,2,0.0,0.0
920523240571850752,2023,1QB,5,7,18,24,WR,7,3,0.0,0.0
920523240571850752,2023,1QB,1,8,14,24,QB,1,4,0.0,0.0
920523240571850752,2023,1QB,1,8,14,24,RB,2,1,0.0,0.0
920523240571850752,2023,1QB,1,8,14,24,TE,3,2,0.035413079999999875,0.0
920523240571850752,2023,1QB,5,8,18,24,RB,5,2,0.0,0.0
920523240571850752,2023,1QB,5,8,18,24,WR,7,3,0.0,0.0
920523240571850752,2023,1QB,1,9,14,24,QB,1,2,0.0,0.0
920523240571850752,2023,1QB,1,9,14,24,RB,2,1,0.0,0.0
920523240571850752,2023,1QB,1,9,14,24,TE,3,2,0.035413079999999875,0.0
920523240571850752,2023,1QB,5,9,17,24,RB,4,3,0.0,0.0
920523240571850752,2023,1QB,5,9,17,24,WR,7,3,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,QB,1,2,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,RB,2,1,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,WR,7,1,0.0,0.0
920523240571850752,2023,1QB,1,10,12,24,TE,2,2,0.04192035999999999,0.0
920523240571850752,2023,1QB,5,10,15,24,RB,4,3,0.0,0.0
920523240571850752,2023,1QB,5,10,15,24,WR,6,4,0.0,0.0
920523240571850752,2023,1QB,5,10,15,24,TE,2,1,0.017976080000000394,0.0
920523240571850752,2023,1QB,1,11,12,24,QB,1,1,0.0,0.0
920523240571850752,2023,1QB,1,11,12,24,RB,2,1,0.0,0.0
920523240571850752,2023,1QB,1,11,12,24,WR,7,1,0.033796879999999696,0.0
920523240571850752,2023,1QB,1,11,12,24,TE,2,2,0.04192035999999977,0.0
920523240571850752,2023,1QB,5,11,14,24,RB,4,3,0.006499440000000097,0.0
